"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
16,1000,1000,100,1,1.04808
25,1000,1000,100,1,1.2199
36,1000,1000,100,1,1.31014
49,1000,1000,100,1,1.28607
64,1000,1000,100,1,1.08113
81,1000,1000,100,1,0.954951
100,1000,1000,100,1,0.874308
121,1000,1000,100,1,0.925483
16,2000,2000,100,1,2.70966
25,2000,2000,100,1,3.16117
36,2000,2000,100,1,2.86715
49,2000,2000,100,1,2.34185
64,2000,2000,100,1,2.06177
81,2000,2000,100,1,1.87355
100,2000,2000,100,1,1.75087
121,2000,2000,100,1,1.59705
16,5000,5000,100,1,14.0363
25,5000,5000,100,1,18.1585
36,5000,5000,100,1,14.1109
49,5000,5000,100,1,10.7627
64,5000,5000,100,1,8.51064
81,5000,5000,100,1,6.9091
100,5000,5000,100,1,5.65958
121,5000,5000,100,1,4.9739
16,1000,1000,50,1,0.597573
25,1000,1000,50,1,0.894463
36,1000,1000,50,1,0.639844
49,1000,1000,50,1,0.626138
64,1000,1000,50,1,0.546046
81,1000,1000,50,1,0.559118
100,1000,1000,50,1,0.573109
121,1000,1000,50,1,0.442701
16,2000,2000,50,1,1.35114
25,2000,2000,50,1,1.80839
36,2000,2000,50,1,1.38545
49,2000,2000,50,1,1.24503
64,2000,2000,50,1,1.09114
81,2000,2000,50,1,0.969345
100,2000,2000,50,1,0.895301
121,2000,2000,50,1,0.829143
16,5000,5000,50,1,7.15683
25,5000,5000,50,1,9.97646
36,5000,5000,50,1,6.89138
49,5000,5000,50,1,5.23669
64,5000,5000,50,1,4.2215
81,5000,5000,50,1,3.63993
100,5000,5000,50,1,2.92281
121,5000,5000,50,1,2.46294
16,10000,10000,50,1,34.351
25,10000,10000,50,1,37.0272
36,10000,10000,50,1,30.2607
49,10000,10000,50,1,22.6433
64,10000,10000,50,1,15.7758
81,10000,10000,50,1,12.7304
100,10000,10000,50,1,10.4092
121,10000,10000,50,1,9.17798
16,1000,1000,50,1,0.56989
25,1000,1000,50,1,0.617054
36,1000,1000,50,1,0.721457
49,1000,1000,50,1,0.607297
64,1000,1000,50,1,0.48424
81,1000,1000,50,1,0.431919
100,1000,1000,50,1,0.413249
121,1000,1000,50,1,0.508559
16,2000,2000,50,1,1.32124
25,2000,2000,50,1,1.62346
36,2000,2000,50,1,1.48528
49,2000,2000,50,1,1.12134
64,2000,2000,50,1,1.16525
81,2000,2000,50,1,0.948841
100,2000,2000,50,1,0.863167
121,2000,2000,50,1,0.864343
16,5000,5000,50,1,7.37079
25,5000,5000,50,1,9.72777
36,5000,5000,50,1,7.13439
49,5000,5000,50,1,5.30676
64,5000,5000,50,1,4.22287
81,5000,5000,50,1,3.42872
100,5000,5000,50,1,2.87027
121,5000,5000,50,1,2.53494
16,10000,10000,50,1,29.8963
25,10000,10000,50,1,37.351
36,10000,10000,50,1,30.1747
49,10000,10000,50,1,21.1441
64,10000,10000,50,1,15.5396
81,10000,10000,50,1,12.4466
100,10000,10000,50,1,10.2497
121,10000,10000,50,1,8.65432
16,1000,1000,50,1,0.591754
25,1000,1000,50,1,0.878633
36,1000,1000,50,1,0.610893
49,1000,1000,50,1,0.613183
64,1000,1000,50,1,0.467086
81,1000,1000,50,1,0.458922
100,1000,1000,50,1,0.436265
121,1000,1000,50,1,0.414399
16,2000,2000,50,1,1.32298
25,2000,2000,50,1,1.8372
36,2000,2000,50,1,1.65166
49,2000,2000,50,1,1.30531
64,2000,2000,50,1,2.0931
81,2000,2000,50,1,0.974044
100,2000,2000,50,1,0.829859
121,2000,2000,50,1,0.759782
16,5000,5000,50,1,7.05595
25,5000,5000,50,1,10.4236
36,5000,5000,50,1,7.23805
49,5000,5000,50,1,5.29664
64,5000,5000,50,1,4.4247
81,5000,5000,50,1,3.58499
100,5000,5000,50,1,2.81748
121,5000,5000,50,1,2.53435
16,10000,10000,50,1,28.2992
25,10000,10000,50,1,39.1386
36,10000,10000,50,1,28.619
49,10000,10000,50,1,22.3656
64,10000,10000,50,1,15.919
81,10000,10000,50,1,13.5266
100,10000,10000,50,1,10.2484
121,10000,10000,50,1,8.83715
16,1000,1000,50,1,0.591559
25,1000,1000,50,1,0.678122
36,1000,1000,50,1,0.653868
49,1000,1000,50,1,0.610506
64,1000,1000,50,1,0.522881
81,1000,1000,50,1,0.532715
100,1000,1000,50,1,0.486444
121,1000,1000,50,1,0.465763
16,2000,2000,50,1,1.32978
25,2000,2000,50,1,1.64364
36,2000,2000,50,1,1.46499
49,2000,2000,50,1,1.21754
64,2000,2000,50,1,1.19872
81,2000,2000,50,1,1.12358
100,2000,2000,50,1,0.865875
121,2000,2000,50,1,0.862124
16,5000,5000,50,1,7.22989
25,5000,5000,50,1,9.17812
36,5000,5000,50,1,6.88157
49,5000,5000,50,1,5.2584
64,5000,5000,50,1,4.21502
81,5000,5000,50,1,3.38534
100,5000,5000,50,1,2.80664
121,5000,5000,50,1,2.4581
16,10000,10000,50,1,32.2652
25,10000,10000,50,1,44.1143
36,10000,10000,50,1,29.5675
49,10000,10000,50,1,21.6974
64,10000,10000,50,1,17.6018
81,10000,10000,50,1,12.901
100,10000,10000,50,1,9.97959
121,10000,10000,50,1,10.0196
16,1000,1000,50,1,0.603737
25,1000,1000,50,1,2.11384
36,1000,1000,50,1,0.618462
49,1000,1000,50,1,0.893836
64,1000,1000,50,1,0.524993
81,1000,1000,50,1,0.494645
100,1000,1000,50,1,0.452947
121,1000,1000,50,1,0.469462
16,2000,2000,50,1,1.31013
25,2000,2000,50,1,1.60804
36,2000,2000,50,1,1.47562
49,2000,2000,50,1,1.29306
64,2000,2000,50,1,1.16923
81,2000,2000,50,1,0.981011
100,2000,2000,50,1,0.851641
121,2000,2000,50,1,0.852395
16,5000,5000,50,1,7.41467
25,5000,5000,50,1,9.19808
36,5000,5000,50,1,6.82789
49,5000,5000,50,1,5.48315
64,5000,5000,50,1,4.35542
81,5000,5000,50,1,3.4311
100,5000,5000,50,1,2.76974
121,5000,5000,50,1,2.47897
16,10000,10000,50,1,31.7576
25,10000,10000,50,1,38.1061
36,10000,10000,50,1,27.1337
49,10000,10000,50,1,19.942
64,10000,10000,50,1,15.4153
81,10000,10000,50,1,12.7084
100,10000,10000,50,1,11.9268
121,10000,10000,50,1,8.98991
16,1000,1000,50,1,0.556214
25,1000,1000,50,1,0.614247
36,1000,1000,50,1,0.646348
49,1000,1000,50,1,0.671196
64,1000,1000,50,1,0.490149
81,1000,1000,50,1,0.444442
100,1000,1000,50,1,0.464204
121,1000,1000,50,1,0.449962
16,2000,2000,50,1,1.30405
25,2000,2000,50,1,1.67303
36,2000,2000,50,1,1.46138
49,2000,2000,50,1,1.17505
64,2000,2000,50,1,1.60987
81,2000,2000,50,1,0.943432
100,2000,2000,50,1,0.854888
121,2000,2000,50,1,0.802096
16,5000,5000,50,1,7.06501
25,5000,5000,50,1,9.23422
36,5000,5000,50,1,6.95056
49,5000,5000,50,1,5.43197
64,5000,5000,50,1,4.1474
81,5000,5000,50,1,3.39447
100,5000,5000,50,1,3.04093
121,5000,5000,50,1,2.65815
16,10000,10000,50,1,32.1808
25,10000,10000,50,1,38.3041
36,10000,10000,50,1,31.3505
49,10000,10000,50,1,20.382
64,10000,10000,50,1,17.0814
81,10000,10000,50,1,12.7741
100,10000,10000,50,1,10.3285
121,10000,10000,50,1,8.49499
16,1000,1000,50,1,0.588974
25,1000,1000,50,1,0.657718
36,1000,1000,50,1,0.651054
49,1000,1000,50,1,0.68289
64,1000,1000,50,1,0.526316
81,1000,1000,50,1,0.501199
100,1000,1000,50,1,0.485045
121,1000,1000,50,1,0.419666
16,2000,2000,50,1,1.30561
25,2000,2000,50,1,1.6411
36,2000,2000,50,1,1.47703
49,2000,2000,50,1,1.25875
64,2000,2000,50,1,1.12722
81,2000,2000,50,1,0.972572
100,2000,2000,50,1,0.911205
121,2000,2000,50,1,1.06557
16,5000,5000,50,1,7.11192
25,5000,5000,50,1,9.74183
36,5000,5000,50,1,7.24139
49,5000,5000,50,1,5.32535
64,5000,5000,50,1,4.83087
81,5000,5000,50,1,3.42778
100,5000,5000,50,1,2.8477
121,5000,5000,50,1,2.43378
16,10000,10000,50,1,31.565
16,1000,1000,50,1,0.513523
25,1000,1000,50,1,1.26415
36,1000,1000,50,1,0.694066
49,1000,1000,50,1,0.632015
64,1000,1000,50,1,1.29158
81,1000,1000,50,1,0.449721
100,1000,1000,50,1,0.462827
121,1000,1000,50,1,0.417431
16,2000,2000,50,1,1.33688
25,2000,2000,50,1,1.61091
36,2000,2000,50,1,1.41643
49,2000,2000,50,1,1.15599
64,2000,2000,50,1,1.09542
81,2000,2000,50,1,1.00878
100,2000,2000,50,1,1.0044
121,2000,2000,50,1,0.945914
16,5000,5000,50,1,7.07679
25,5000,5000,50,1,9.21383
36,5000,5000,50,1,7.38661
49,5000,5000,50,1,6.0367
64,5000,5000,50,1,4.31757
81,5000,5000,50,1,3.551
100,5000,5000,50,1,3.04916
121,5000,5000,50,1,2.48877
16,10000,10000,50,1,31.5799
25,10000,10000,50,1,42.713
36,10000,10000,50,1,27.7751
49,10000,10000,50,1,23.5059
64,10000,10000,50,1,16.171
81,10000,10000,50,1,12.5913
100,10000,10000,50,1,10.1217
121,10000,10000,50,1,8.62273
16,1000,1000,50,1,0.69577
25,1000,1000,50,1,0.888872
36,1000,1000,50,1,0.667202
49,1000,1000,50,1,0.596482
64,1000,1000,50,1,0.564267
81,1000,1000,50,1,0.46955
100,1000,1000,50,1,0.451129
121,1000,1000,50,1,0.505092
16,2000,2000,50,1,1.31065
25,2000,2000,50,1,1.61595
36,2000,2000,50,1,1.39433
49,2000,2000,50,1,1.15558
64,2000,2000,50,1,1.12193
81,2000,2000,50,1,1.01569
