"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
25,1000,1000,100,1,6.64426
36,1000,1000,100,1,2.20158
49,1000,1000,100,1,2.47305
64,1000,1000,100,1,3.5887
81,1000,1000,100,1,3.0457
100,1000,1000,100,1,2.30029
121,1000,1000,100,1,2.5168
25,2000,2000,100,1,3.12342
36,2000,2000,100,1,3.01792
49,2000,2000,100,1,2.26436
64,2000,2000,100,1,2.27563
81,2000,2000,100,1,1.82898
100,2000,2000,100,1,1.75682
121,2000,2000,100,1,1.60483
25,5000,5000,100,1,18.4398
36,5000,5000,100,1,13.7992
49,5000,5000,100,1,10.4065
64,5000,5000,100,1,8.44173
81,5000,5000,100,1,6.99304
100,5000,5000,100,1,5.68163
121,5000,5000,100,1,4.98055
25,1000,1000,100,1,1.36678
36,1000,1000,100,1,1.276
49,1000,1000,100,1,1.27678
64,1000,1000,100,1,1.06105
81,1000,1000,100,1,0.939977
100,1000,1000,100,1,1.15646
121,1000,1000,100,1,1.17678
25,2000,2000,100,1,3.31712
36,2000,2000,100,1,2.83253
49,2000,2000,100,1,2.33637
64,2000,2000,100,1,2.22161
81,2000,2000,100,1,1.87011
100,2000,2000,100,1,2.00909
121,2000,2000,100,1,1.53274
25,5000,5000,100,1,18.0313
36,5000,5000,100,1,14.0321
49,5000,5000,100,1,11.0626
64,5000,5000,100,1,8.64888
81,5000,5000,100,1,7.42765
100,5000,5000,100,1,6.30251
121,5000,5000,100,1,4.88193
25,1000,1000,100,1,1.50144
36,1000,1000,100,1,1.31755
49,1000,1000,100,1,1.18172
64,1000,1000,100,1,1.2022
81,1000,1000,100,1,0.934536
100,1000,1000,100,1,0.947391
121,1000,1000,100,1,0.885193
25,2000,2000,100,1,3.55922
36,2000,2000,100,1,2.96873
49,2000,2000,100,1,2.45119
64,2000,2000,100,1,2.14987
81,2000,2000,100,1,1.90286
100,2000,2000,100,1,1.70228
121,2000,2000,100,1,1.57239
25,5000,5000,100,1,18.5284
36,5000,5000,100,1,14.4744
