"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
4,100,100,200,1,0.505546
9,100,100,200,1,0.783778
16,100,100,200,1,0.816848
25,100,100,200,1,1.14452
36,100,100,200,1,4.20922
49,100,100,200,1,5.23319
64,100,100,200,1,6.76925
81,100,100,200,1,9.77944
100,100,100,200,1,12.0965
124,100,100,200,1,12.7698
4,200,200,200,1,0.579432
9,200,200,200,1,0.793889
16,200,200,200,1,1.20857
25,200,200,200,1,1.89055
36,200,200,200,1,3.60267
49,200,200,200,1,5.29049
64,200,200,200,1,7.21437
81,200,200,200,1,10.0399
100,200,200,200,1,12.179
124,200,200,200,1,12.1901
4,400,400,200,1,1.01091
9,400,400,200,1,1.10588
16,400,400,200,1,1.6016
25,400,400,200,1,1.96958
36,400,400,200,1,3.53197
49,400,400,200,1,5.35479
64,400,400,200,1,7.51901
81,400,400,200,1,10.7396
100,400,400,200,1,11.9842
124,400,400,200,1,12.5158
4,100,100,200,1,0.478171
9,100,100,200,1,0.816042
16,100,100,200,1,1.04172
25,100,100,200,1,2.11377
36,100,100,200,1,3.69818
49,100,100,200,1,5.61873
64,100,100,200,1,6.75991
81,100,100,200,1,10.1872
100,100,100,200,1,12.0447
124,100,100,200,1,11.856
4,200,200,200,1,0.551254
9,200,200,200,1,0.780482
16,200,200,200,1,1.17639
25,200,200,200,1,1.80267
36,200,200,200,1,3.79982
49,200,200,200,1,5.56715
64,200,200,200,1,7.07306
81,200,200,200,1,9.53361
100,200,200,200,1,12.3351
124,200,200,200,1,12.315
4,400,400,200,1,1.07602
9,400,400,200,1,0.979458
16,400,400,200,1,1.24491
25,400,400,200,1,1.94498
36,400,400,200,1,3.63842
49,400,400,200,1,5.2179
64,400,400,200,1,7.77338
81,400,400,200,1,11.2127
100,400,400,200,1,12.06
124,400,400,200,1,12.356
4,100,100,200,1,0.432631
9,100,100,200,1,0.693846
16,100,100,200,1,2.47728
25,100,100,200,1,3.53388
36,100,100,200,1,4.2032
49,100,100,200,1,5.82457
64,100,100,200,1,7.38124
81,100,100,200,1,9.90749
100,100,100,200,1,11.9306
124,100,100,200,1,11.9166
4,200,200,200,1,0.519936
9,200,200,200,1,0.81734
16,200,200,200,1,1.38021
25,200,200,200,1,1.78078
36,200,200,200,1,3.83426
49,200,200,200,1,5.35122
64,200,200,200,1,6.61203
81,200,200,200,1,9.80782
100,200,200,200,1,11.9312
124,200,200,200,1,11.967
4,400,400,200,1,1.00898
9,400,400,200,1,1.59115
16,400,400,200,1,1.44817
25,400,400,200,1,2.06209
36,400,400,200,1,3.5095
49,400,400,200,1,5.67933
64,400,400,200,1,7.37708
81,400,400,200,1,10.5734
100,400,400,200,1,12.7356
124,400,400,200,1,12.7273
4,100,100,200,1,0.459235
9,100,100,200,1,0.936163
16,100,100,200,1,1.05078
25,100,100,200,1,1.93723
36,100,100,200,1,3.45166
49,100,100,200,1,5.59173
64,100,100,200,1,6.81072
81,100,100,200,1,9.9621
100,100,100,200,1,11.6805
124,100,100,200,1,12.029
4,200,200,200,1,0.566939
9,200,200,200,1,0.729855
16,200,200,200,1,1.12892
25,200,200,200,1,1.71124
36,200,200,200,1,3.48313
49,200,200,200,1,5.42495
64,200,200,200,1,7.11497
81,200,200,200,1,10.3915
100,200,200,200,1,12.2453
124,200,200,200,1,12.7485
4,400,400,200,1,0.981403
9,400,400,200,1,0.945413
16,400,400,200,1,1.19364
25,400,400,200,1,1.88243
36,400,400,200,1,3.49645
49,400,400,200,1,5.7652
64,400,400,200,1,7.55411
81,400,400,200,1,11.2733
100,400,400,200,1,13.2124
124,400,400,200,1,12.6707
4,100,100,200,1,0.564235
9,100,100,200,1,0.850769
16,100,100,200,1,1.18795
25,100,100,200,1,2.1698
36,100,100,200,1,3.76544
49,100,100,200,1,5.17218
64,100,100,200,1,7.80743
81,100,100,200,1,9.41789
100,100,100,200,1,11.6911
124,100,100,200,1,12.2073
4,200,200,200,1,0.591747
9,200,200,200,1,0.798678
16,200,200,200,1,1.08199
25,200,200,200,1,1.95326
36,200,200,200,1,3.53211
49,200,200,200,1,6.00218
64,200,200,200,1,7.2501
81,200,200,200,1,9.97542
100,200,200,200,1,12.2005
124,200,200,200,1,12.5517
4,400,400,200,1,1.15208
9,400,400,200,1,1.13341
